timestamp,flareLon,solexs,hel1os,flux10,flux100
1780715341,13,10.045,1.0,0.0118,0.001221
1780715401,51,9.957,1.0,0.0107,0.001
1780715821,-8,10.385,2.429,0.0111,0.001881
1780716121,72,9.798,1.0,0.0121,0.001137
1780716361,78,8.688,1.0,0.01,0.001
1780716421,-34,8.655,1.0,0.0111,0.001412
1780716781,39,8.862,9.825,1.7687,0.976452
1780717441,-23,9.653,1.0,0.01,0.001202
1780717501,37,9.787,1.0,0.01,0.001103
1780717921,-19,23.362,436.299,1.4650697511375233e+51,5.825671688830794e+50
1780718101,31,32.967,341.197,4.463324126120234e+27,2.0624716792964173e+27
1780718161,-25,35.982,182.544,1293907255570.384,446038213354.6719
1780718941,53,31.837,5.672,0.0439,0.006526
1780719301,46,27.863,2.574,0.0163,0.001815
1780719601,-8,21.868,2.118,0.01,0.00105
1780719721,24,20.635,1.579,0.0122,0.001133
1780720141,41,21.628,58.984,414647.5987,167355.738698
1780720261,36,22.972,51.185,12451.1405,4274.173022
1780720621,66,26.797,48.279,943.3406,440.886161
1780720861,-41,27.553,2.184,0.01,0.001084
1780721101,-20,27.542,1.914,0.0143,0.001409
1780721641,65,27.103,2.256,0.0135,0.001164
1780722061,55,23.68,1.58,0.0114,0.001
1780722121,46,23.192,2.125,0.0144,0.001292
1780722361,-18,21.902,2.06,0.0111,0.001
1780723021,-41,20.768,1.811,0.0105,0.001065
1780723741,69,17.737,4.772,0.0282,0.004841
1780724281,-28,18.972,1.396,0.01,0.001
1780724401,65,18.27,1.215,0.0114,0.001
1780724461,-3,17.767,1.296,0.0102,0.001102
1780724701,22,16.152,1.0,0.01,0.001
1780725121,27,14.592,1.0,0.01,0.001011
1780725721,20,12.553,1.228,0.01,0.001
1780725841,-56,12.115,1.02,0.01,0.001
1780726441,-10,11.095,1.0,0.01,0.001
1780727041,35,46.157,688.43,1.24168708608187e+41,5.219854897088503e+40
1780727401,-59,56.362,3.638,0.01,0.001
1780727461,32,51.808,3.523,0.0123,0.001
1780727521,-6,47.878,3.057,0.0153,0.001535
1780727701,-29,38.762,2.915,0.01,0.001
1780728241,-24,24.62,1.894,0.0108,0.001
1780728361,-27,24.218,1.82,0.01,0.001
1780728721,13,22.152,1.819,0.0106,0.001
1780729021,35,21.783,22.074,4.7288,2.41261
1780729141,36,22.647,53.589,41484.9351,20184.497007
1780731241,30,13.858,4.229,0.0164,0.002428
1780731481,-31,14.633,21.521,21.0925,11.173726
1780731961,23,16.708,1.523,0.01,0.001168
1780732861,23,15.612,1.264,0.0108,0.001
1780732921,3,15.43,1.231,0.01,0.001
1780733281,76,14.918,2.471,0.0114,0.001482
1780734121,30,14.053,1.115,0.01,0.001
1780734241,13,13.82,1.162,0.0114,0.001
1780734721,-26,14.188,14.846,1.5408,0.7254
1780734841,-16,14.497,15.148,1.9796,1.033813
1780735381,73,12.82,1.0,0.0121,0.001044
1780735501,-10,12.183,1.0,0.01,0.001
1780735561,0,11.902,1.068,0.0116,0.001199
1780735741,-58,11.11,1.0,0.01,0.001
1780736161,-57,10.183,1.0,0.0103,0.001064
1780736221,-34,10.02,1.0,0.0103,0.001045
1780736341,-16,9.827,1.0,0.01,0.001
1780736701,-40,9.533,5.625,0.0228,0.006298
1780737121,66,9.133,1.0,0.0135,0.001405
1780737361,69,8.985,1.0,0.0116,0.001382
1780737541,-25,9.083,12.865,8.8919,3.173448
1780737601,51,9.247,17.931,554.1718,216.772691
1780738141,-14,9.083,1.0,0.0119,0.001376
1780738261,-31,8.775,1.0,0.0128,0.001562
1780738441,-37,8.8,1.0,0.01,0.001215
1780738501,37,8.887,2.897,0.016,0.003772
1780738801,-39,9.437,22.842,5791.5103,2281.377134
1780738981,-41,10.18,18.179,76.1203,35.35452
1780739581,3,11.212,7.481,0.1297,0.051851
1780740001,13,13.713,34.858,43754.3636,18893.248831
1780740361,21,14.385,1.283,0.01,0.001
1780740841,-19,12.167,1.0,0.01,0.00101
1780741141,4,11.005,1.064,0.0106,0.001
1780741741,24,10.25,14.061,11.3132,5.388252
1780741801,-12,10.415,17.123,52.678,21.949809
1780741921,-57,10.917,25.325,1976.9309,883.400601
1780742041,35,11.57,33.512,377845.587,129125.076112
1780742101,78,11.723,23.578,1451.0979,694.915146
1780742281,-9,12.453,10.911,0.43,0.212249
1780742701,8,13.858,10.087,0.2683,0.092986
1780743541,-43,12.402,1.0,0.0138,0.001344
1780743661,53,12.453,2.156,0.0131,0.00181
1780743781,58,12.233,1.0,0.01,0.001009
1780743961,36,11.907,1.0,0.01,0.001
1780744021,58,11.692,1.129,0.0114,0.001
1780744261,76,11.172,1.031,0.01,0.00102
1780745161,-49,10.42,1.0,0.01,0.001096
1780745281,-27,10.26,5.284,0.0218,0.005481
1780745341,47,10.405,8.059,0.4068,0.135653
1780745881,29,11.912,13.835,3.0354,1.107423
1780745941,19,12.153,22.132,356.163,174.356097
1780746181,43,13.575,44.601,8681079.549,3282192.468539
1780746421,48,20.833,297.891,4.035831605541789e+38,2.1102945781894883e+38
1780746961,19,29.293,2.914,0.0124,0.001038
1780747021,-39,27.29,2.306,0.0121,0.001279
1780747561,-58,17.182,1.54,0.011,0.001
1780747681,-2,16.448,1.246,0.01,0.001124
1780749601,29,12.432,1.0,0.0101,0.001
1780750021,73,13.33,27.158,2391.3233,985.616646
1780750081,56,13.485,20.606,60.0991,26.681683
1780750141,-25,13.668,18.765,12.3494,6.103881
1780750201,-47,13.897,13.96,0.6235,0.234678
1780750501,51,15.267,34.714,8957.3262,3379.129011
1780750681,21,16.318,38.993,19970.6627,9707.94277
1780751041,25,27.133,250.488,2.3511217277649262e+24,1.2394878389860854e+24
1780751461,24,223.342,3659.006,1.406106719751478e+46,6.046538194558692e+45
1780751581,-12,278.527,1867.334,2.0281253585607214e+18,1.168710162251777e+18
1780752241,-43,178.772,12.773,0.0488,0.004876
1780752361,-56,151.172,12.763,0.031,0.003676
1780752841,-44,104.06,7.898,0.0208,0.001623
1780753321,-9,327.095,4322.846,1.4387761296125346e+37,7.205726731330976e+36
1780753381,-59,382.438,5664.937,2.038703966090579e+41,9.806372472623274e+40
1780753441,30,440.843,5727.981,6.580552471877842e+36,3.1287926063814174e+36
1780753501,28,499.082,3794.464,3.049881796882322e+21,1.7096420835044664e+21
1780753621,-54,609.608,3429.691,2228065124775037.2,977845330479839.4
1780753801,36,756.483,3863.015,445829053746998.75,198471835284443.1
1780753921,-25,825.103,2686.082,1073284575.8675,601891212.652685
1780754701,-57,835.098,72.884,0.3843,0.027854
1780754761,-19,810.37,65.439,0.976,0.10435
1780755061,22,680.758,55.14,1.2088,0.127419
1780755181,-31,628.143,62.306,0.5261,0.054555
1780755241,-11,601.607,54.999,0.6692,0.052183
1780755601,47,475.8,33.656,0.818,0.074356
1780755781,-50,421.953,21.226,0.142,0.008275
1780756561,58,264.363,22.91,0.512,0.052554
1780756681,-1,251.827,22.08,0.174,0.018987
1780757461,-49,168.74,14.553,0.0395,0.003351
1780757521,-47,163.2,16.246,0.0631,0.004537
1780757641,28,153.457,11.946,0.1236,0.00814
1780757941,-46,131.432,10.56,0.0245,0.002207
1780759021,-25,84.577,7.199,0.0321,0.003083
1780759081,2,82.982,6.772,0.0478,0.005144
1780759201,8,80.087,7.1,0.0346,0.003386
1780759321,58,76.63,6.948,0.0634,0.005664
1780759441,55,72.562,5.928,0.0546,0.004471
1780759681,73,66.025,5.559,0.068,0.005823
1780759981,71,59.735,5.672,0.0333,0.003293
1780760161,36,56.805,4.139,0.0336,0.002482
1780760581,19,50.595,3.743,0.0312,0.002538
1780761001,54,44.567,3.458,0.0347,0.003217
1780761061,-47,44.112,3.052,0.01,0.001
1780761181,-4,43.203,4.18,0.0142,0.001338
1780761241,-34,42.8,3.781,0.01,0.001015
1780761301,-36,42.323,4.314,0.01,0.001176
1780761361,61,41.792,3.394,0.0279,0.002454
1780761541,8,40.355,3.304,0.0151,0.001331
1780761781,13,37.382,2.692,0.0113,0.001
1780761961,10,34.725,2.056,0.0125,0.001
1780762081,-45,33.3,3.096,0.01,0.001
1780762441,-11,30.23,2.455,0.01,0.001
1780762801,10,28.023,2.179,0.01,0.001
1780763041,25,27.47,1.971,0.01,0.001
1780763161,-41,27.265,2.349,0.0108,0.001
1780763221,-46,27.02,1.769,0.01,0.001
1780763281,29,26.918,2.74,0.0106,0.001323
1780763701,35,28.082,39.286,101.0347,40.316143
1780764001,-40,30.117,31.173,2.2827,1.16416
1780764421,-14,29.705,1.868,0.01,0.001
1780764721,13,26.933,2.182,0.0133,0.0012
1780764901,-35,25.09,2.161,0.01,0.001028
1780764961,-57,24.625,1.698,0.0117,0.001202
1780765261,10,26.622,99.815,421604595.1888,180045854.621993
1780765681,71,28.055,1.974,0.0131,0.001081
1780766401,12,22.262,1.754,0.0107,0.001003
1780766701,-5,20.518,1.656,0.01,0.001
1780766881,-4,20.013,1.629,0.01,0.001
1780767001,77,19.732,1.681,0.01,0.001
1780767481,65,19.3,1.974,0.01,0.001071
1780767541,-52,19.203,1.417,0.0102,0.001
1780767601,-13,19.06,1.611,0.0116,0.001031
1780767721,-3,18.68,1.067,0.01,0.001
1780767781,-17,18.75,1.957,0.0109,0.001091
1780767901,-29,18.495,1.897,0.01,0.001052
1780767961,42,18.462,1.354,0.013,0.001
1780768141,22,18.893,25.226,31.5679,12.57959
1780768321,-18,20.545,59.072,588846.6804,262841.518717
1780768621,-41,23.373,42.05,305.2977,130.585295
1780768861,57,23.177,1.881,0.0107,0.001144
1780769881,23,15.227,1.431,0.011,0.001
1780770001,75,15.01,1.319,0.01,0.001
1780771201,48,14.655,1.074,0.0104,0.001
1780771321,18,14.57,4.893,0.0162,0.00302
1780771501,53,14.42,7.158,0.0734,0.01991
1780772161,-3,14.07,1.0,0.0129,0.001073
1780772881,-58,12.103,1.852,0.0105,0.00141
1780773001,-40,12.13,3.972,0.01,0.00219
1780773241,-21,12.525,9.336,0.2153,0.084815
1780773901,-40,14.935,1.245,0.01,0.001
1780774021,-20,14.123,1.0,0.0125,0.001058
1780774621,20,12.005,1.429,0.0115,0.001301
1780774741,73,12.043,8.936,0.2762,0.117508
1780775041,59,11.955,1.0,0.01,0.001
1780775461,-11,11.742,1.0,0.01,0.001
1780775881,-52,11.258,1.186,0.012,0.001201
1780776121,-46,10.887,1.0,0.0102,0.001074
1780776301,31,10.76,1.0,0.01,0.001071
1780776841,-18,11.195,5.024,0.0203,0.004958
1780777081,50,11.553,9.606,0.5541,0.248711
1780777741,60,10.822,1.486,0.0101,0.001044
1780778341,25,11.665,3.962,0.016,0.004613
1780778401,5,11.693,1.0,0.0133,0.001106
1780778461,71,11.673,1.0,0.0116,0.001189
1780778881,32,10.465,1.0,0.0114,0.001252
1780778941,-22,10.358,1.0,0.0121,0.001139
1780779121,66,10.475,15.496,38.9834,19.058451
1780779361,11,11.1,16.041,25.3949,10.460395
1780779901,31,15.265,53.469,33242805.5304,13161521.760973
1780779961,47,16.198,92.7,82167689775448.36,43266875345875.98
1780780021,-38,17.322,125.709,1.0275827623943597e+18,3.9165721942838035e+17
1780780441,-22,26.528,102.869,493076391.5449,224509432.209522
1780780561,26,28.648,54.627,2149.6845,784.98665
1780780741,-9,29.762,15.933,0.1519,0.046209
1780781161,9,28.265,2.734,0.0123,0.001332
1780781401,-26,26.152,2.155,0.01,0.001
1780781461,-29,25.473,1.907,0.0124,0.001
1780781761,-49,21.72,1.837,0.0102,0.001
1780782001,-40,19.398,1.39,0.0114,0.001
1780782061,47,19.003,1.845,0.01,0.001209
1780782241,66,19.092,19.261,3.9656,2.140386
1780782361,6,19.387,38.695,1854.4077,830.99299
1780782481,35,19.202,16.037,1.3501,0.394069
1780782721,-8,17.977,1.788,0.0113,0.001131
1780782961,74,16.392,6.88,0.0716,0.021068
1780783441,-11,16.605,1.374,0.01,0.001209
1780783861,12,14.135,1.206,0.0137,0.001572
1780783981,28,14.088,16.169,5.074,2.24114
1780784461,-50,12.803,1.0,0.01,0.001
1780784521,28,12.427,1.0,0.01,0.001
1780784581,43,12.082,1.0,0.01,0.001
1780785181,-58,9.698,1.0,0.01,0.001
1780785901,-39,11.783,67.848,33142286788797.707,17550318473716.975
1780786021,13,12.832,86.758,4.052085516902463e+16,1.7063611094300186e+16
1780786801,35,13.138,1.365,0.0103,0.001043
1780786921,61,12.93,1.073,0.01,0.001
1780787161,-20,13.0,11.811,0.6355,0.350706
1780787221,30,13.173,16.363,11.4737,6.122044
1780787281,79,13.272,13.144,1.0811,0.62667
1780787341,-6,13.368,19.411,26.2997,12.676215
1780787401,-52,13.453,23.89,94.8921,47.907858
1780787641,10,13.83,1.116,0.01,0.001
1780788181,-10,14.573,8.391,0.0941,0.032678
1780788541,-47,13.492,1.297,0.0108,0.001
1780790101,-17,7.401,1.0,0.0111,0.001109
1780790401,34,7.247,1.0,0.0135,0.00155
1780790521,53,7.145,1.0,0.01,0.001207
1780791601,52,7.905,24.383,1113425.905,594786.131905
1780791961,32,8.095,1.0,0.01,0.001
1780792861,-6,7.77,13.661,95.2989,39.069227
1780793041,20,8.793,65.883,4.5250529454450427e+18,2.182589131983078e+18
1780793701,26,11.462,1.196,0.01,0.001317
1780794001,74,9.665,1.0,0.0103,0.001011
1780795261,78,7.382,1.0,0.0123,0.001341
1780795441,-21,7.238,1.0,0.0118,0.001541
1780795501,27,7.15,1.0,0.01,0.001038
1780795681,-60,7.262,7.663,0.1558,0.082628
1780795861,-40,8.387,51.131,130498302173684.48,49883958955295.55
1780796401,61,10.14,1.247,0.01,0.001092
1780796521,-38,14.097,193.486,2.2019591345940213e+36,1.2016665992524169e+36
1780796941,6,30.883,42.102,65.3987,39.62274
1780797301,25,25.087,1.992,0.0103,0.001
1780797601,-42,21.803,1.796,0.01,0.001
1780798261,-58,17.07,8.824,0.0275,0.010531
1780798861,40,27.723,193.22,9.033088463982218e+17,4.013680624455465e+17
1780799101,-47,33.872,91.448,184554.8735,100189.81372
1780799461,4,32.253,2.553,0.0128,0.001479
1780800241,-44,27.82,1.823,0.0107,0.001
1780800301,-49,26.337,2.525,0.01,0.001153
1780800421,73,23.497,2.029,0.0113,0.001
1780801141,46,12.568,1.0,0.01,0.001
1780801321,-9,11.407,1.0,0.0129,0.001217
1780801501,-49,10.667,1.0,0.01,0.001
1780801981,65,10.73,1.0,0.0117,0.001148
1780802161,53,10.417,1.0,0.01,0.001
1780802281,72,9.928,1.0,0.01,0.001046
1780802341,53,9.75,1.0,0.0139,0.001227
1780802401,-53,9.697,1.0,0.01,0.001
1780802701,10,9.69,14.44,26.7156,12.310612
1780802761,-58,9.825,19.361,119.6497,66.361061
1780802881,-50,9.933,14.671,7.0385,2.518551
1780803781,70,7.278,1.828,0.0129,0.002382
1780803841,47,7.46,14.477,478.6753,275.943236
1780804021,-59,8.198,40.108,26948336915.9017,17025465606.223808
1780804081,10,8.357,29.679,15722693.1786,7093883.172964
1780804681,-30,7.713,1.0,0.01,0.001
1780804741,79,7.563,1.0,0.01,0.001361
1780804921,-46,7.535,3.208,0.01,0.003066
1780805101,19,8.432,55.867,1.0524183609447632e+16,4840277474646039.0
1780805161,-54,10.03,98.607,6.232337673752272e+24,2.2574209829376802e+24
1780805221,-14,12.61,193.014,1.6520733082531577e+41,7.787259649613931e+40
1780805341,58,23.722,739.67,2.175435958091029e+87,1.179433867922398e+87
1780805581,2,53.005,891.242,2.0191681356694973e+46,7.213985356979867e+45
1780806241,-27,31.43,1.731,0.0129,0.001
1780806421,-40,25.217,1.588,0.0116,0.001073
1780806541,-5,22.642,1.708,0.01,0.001
1780806721,77,20.427,1.361,0.01,0.001004
1780807981,37,15.308,1.232,0.01,0.001031
1780808041,53,15.09,1.218,0.0142,0.001394
1780808101,53,14.912,1.231,0.0107,0.001007
1780808521,-3,16.162,39.446,20510.5291,11700.651192
1780809001,51,19.018,15.067,0.8939,0.431104
1780809421,-14,19.722,1.595,0.01,0.001
1780809541,50,19.468,1.393,0.01,0.001
1780809661,66,19.017,1.41,0.0102,0.00101
1780809721,-58,18.875,1.069,0.01,0.001
1780809781,-37,19.637,51.273,38081.7524,13217.667087
1780810261,27,24.852,1.659,0.01,0.001047
1780811521,0,46.718,3.46,0.0181,0.001521
1780811761,31,36.652,2.429,0.0225,0.001986
1780811881,14,32.62,2.326,0.01,0.001
1780812121,69,24.058,1.964,0.0108,0.001
1780812241,24,20.218,1.456,0.01,0.001
1780812601,41,12.567,1.0,0.01,0.001
1780812961,36,10.015,1.0,0.0114,0.001326
1780813381,35,9.145,1.0,0.01,0.001
1780813561,22,9.337,13.323,16.7504,7.380683
1780813681,33,10.528,61.807,104554387153990.77,34094576054732.53
1780814281,59,24.772,128.718,5981759043487.87,2249298313149.4414
1780814461,51,25.18,1.633,0.01,0.001
1780814581,39,23.028,2.143,0.0115,0.001256
1780815121,-9,16.085,24.832,60.8183,29.63111
1780815181,11,16.23,1.847,0.01,0.001165
1780815241,-14,16.38,1.269,0.01,0.001
1780815901,-4,15.093,1.379,0.01,0.001
1780816081,12,14.57,1.442,0.0104,0.001134
1780816501,63,13.12,1.439,0.01,0.001
1780817041,-31,9.758,1.0,0.0102,0.001
1780817221,-23,9.147,1.0,0.01,0.001
1780817701,-55,8.968,1.0,0.01,0.001
1780817941,-55,9.673,23.041,2381.6794,1101.486195
1780818361,61,11.795,16.535,21.5783,11.106571
1780818481,12,12.3,11.64,0.6736,0.298479
1780818781,79,18.59,165.192,1.6222493942900142e+23,6.45725825246753e+22
1780819021,-44,23.38,54.784,10552.9585,5339.520903
1780819501,11,18.243,1.439,0.0138,0.00146
1780819621,12,17.67,1.701,0.0106,0.001
1780819801,-19,19.443,103.551,3498249606788.076,1690775839794.4055
1780819861,48,21.032,158.246,1.7529099147707228e+19,9.215723699124872e+18
1780819981,-50,24.075,192.805,1.3003269643960019e+20,7.033664470211233e+19
1780820341,-56,48.262,338.526,6.422276353817416e+17,2.2193871411404323e+17
1780820941,-44,25.708,2.082,0.01,0.001
1780821541,14,11.883,1.106,0.01,0.001
1780821601,24,11.49,1.0,0.0115,0.001
1780822141,-1,7.578,1.0,0.0149,0.001896
1780822201,-18,7.398,1.0,0.0108,0.001
1780822561,45,6.953,1.0,0.0124,0.001703
1780822801,53,6.887,6.051,0.4041,0.158118
1780823161,-25,7.062,1.0,0.0127,0.001463
1780823401,-43,7.423,13.686,65.4621,29.368209
1780823641,-41,9.812,72.43,9.036211188116343e+17,4.4727422828622336e+17
1780823821,-4,15.197,214.225,6.982337706369373e+37,2.410679633697051e+37
1780823881,13,17.305,311.217,1.0964817587391459e+49,6.034037384744116e+48
1780824001,7,21.517,233.13,5.081565445542057e+28,2.2490876026398063e+28
1780825561,-53,11.48,1.023,0.01,0.001201
1780825621,3,11.37,1.0,0.0133,0.001311
1780825921,-53,10.447,1.0,0.0106,0.001
1780825981,-59,10.438,1.109,0.0112,0.001
1780826581,66,10.045,1.0,0.01,0.001
1780826641,5,10.0,1.0,0.0117,0.001354
1780826821,55,9.782,1.0,0.0123,0.001383
1780826881,-23,9.668,1.0,0.0122,0.001322
1780826941,17,9.603,1.0,0.01,0.001067
1780827001,-46,9.517,1.048,0.0135,0.001285
1780827061,-17,9.347,1.0,0.0122,0.001135
1780827361,-45,9.118,2.374,0.0123,0.002402
1780827601,-6,9.257,7.484,0.1653,0.056776
1780827721,-35,9.608,16.79,76.5908,33.789538
1780827841,74,10.07,23.797,10862.7729,4993.916819
1780827901,15,10.367,24.785,8679.7369,3867.561663
1780828261,11,10.978,1.011,0.0113,0.001
1780828441,-26,10.437,1.026,0.0117,0.001
1780828741,-21,9.49,1.0,0.0137,0.00159
1780828921,75,8.813,1.0,0.0106,0.00103
1780830301,-54,8.312,29.187,3347139.9716,1870125.409488
1780830361,-7,8.517,35.603,794488907.6843,340817491.496136
1780830781,47,9.515,1.0,0.01,0.001
1780830961,15,9.285,1.0,0.01,0.001
1780831201,10,8.883,1.0,0.0132,0.001617
1780831501,28,8.413,1.0,0.01,0.00115
1780832161,44,7.798,1.0,0.0111,0.001684
1780832221,-14,7.657,1.0,0.011,0.001105
1780832341,22,7.587,1.0,0.01,0.001087
1780832461,-15,7.398,1.0,0.0117,0.001504
1780832581,76,7.035,1.0,0.0116,0.001607
1780833361,-7,6.23,1.0,0.01,0.001566
1780833721,34,6.25,1.0,0.0101,0.001063
1780834801,38,6.883,1.0,0.0115,0.001358
1780835401,48,7.972,20.484,29082.4798,9885.107242
1780835521,27,8.257,2.072,0.01,0.00186
1780835581,59,8.188,1.0,0.01,0.001
1780835881,-27,7.192,1.0,0.01,0.001209
1780836001,30,6.787,1.0,0.0102,0.001213
1780836181,61,6.765,15.573,4788.5212,2170.215854
1780836241,25,6.957,23.856,6426071.2761,3899066.332981
1780836301,-41,7.013,26.621,19311565.2974,7848113.665317
1780837141,51,6.092,1.0,0.013,0.001546
1780838581,65,17.1,233.397,5.613041538514274e+36,2.996231196002814e+36
1780838821,-24,22.838,32.905,29.7624,13.251925
1780839301,50,19.543,1.802,0.0125,0.001141
1780839901,-41,28.605,52.282,357.0952,158.245088
1780840681,-39,44.467,3.113,0.0102,0.001096
1780840741,8,41.137,2.734,0.016,0.001154
1780841341,-30,17.903,1.465,0.0113,0.001019
1780841581,-19,15.0,1.14,0.0136,0.001149
1780843321,64,8.627,20.971,15444.5534,7197.520574
1780843621,-25,10.302,46.72,9306545523.9637,3547813354.332695
1780844161,49,12.502,37.075,762982.3369,379686.014826
1780844581,16,14.731,1.968,0.0114,0.001316
1780844941,-4,12.992,1.017,0.01,0.001002
1780845181,43,11.58,1.0,0.011,0.001134
1780845301,-46,10.857,1.0,0.01,0.001
1780845361,38,10.627,1.0,0.01,0.001094
1780845541,-14,9.865,1.0,0.0103,0.001
1780845901,-18,8.767,1.0,0.013,0.001243
1780846081,7,8.423,1.0,0.01,0.00108
1780846261,-21,8.415,1.0,0.01,0.001137
1780846921,32,16.908,230.495,3.4728789225613454e+36,1.6274626632598917e+36
1780846981,76,18.995,185.697,3.6565058049592476e+25,1.5383251562845686e+25
1780847101,-29,24.292,179.735,5.076535342433677e+18,1.8405025866304965e+18
1780847581,-46,37.07,3.191,0.01,0.001317
1780847761,-11,34.91,2.216,0.01,0.001
1780848181,45,23.272,1.755,0.0132,0.001203
1780848481,79,17.75,1.229,0.0102,0.001
1780849141,61,11.267,1.081,0.01,0.001
1780849261,-29,10.57,1.0,0.01,0.001181
1780849621,-47,9.808,5.19,0.0139,0.003786
1780849681,-17,10.105,11.711,2.082,0.863638
1780849801,-22,11.357,42.318,61701170.8324,37310244.013347
1780849981,-1,12.48,68.68,10469698542042.48,3197141647899.923
1780850581,-8,26.755,96.255,70406646.3849,34451990.920967
1780851241,79,23.233,1.601,0.01,0.001
1780851961,11,14.98,1.418,0.0107,0.001
1780852141,-28,14.588,1.128,0.01,0.001042
1780852321,-6,13.845,1.202,0.01,0.001
1780852501,42,13.148,1.0,0.0119,0.001
1780852741,11,11.815,1.078,0.0101,0.00114
1780852921,76,11.453,1.0,0.0103,0.001184
1780853341,10,10.522,1.0,0.01,0.001
1780853461,-43,10.3,1.0,0.0115,0.0011
1780853581,35,10.058,1.0,0.01,0.001082
1780853641,36,10.09,1.0,0.01,0.001139
1780853761,46,10.372,7.217,0.1628,0.079233
1780854121,-14,15.17,158.032,4.6885088413311544e+26,3.052289758404389e+26
1780854241,76,17.268,96.303,44550520043025.59,14155271799152.855
1780854661,22,18.778,1.503,0.0104,0.001
1780855741,44,9.897,1.0,0.0114,0.001
1780855801,18,9.528,1.0,0.01,0.001103
1780856281,54,7.8,1.0,0.01,0.001042
1780856341,-53,7.633,1.0,0.0125,0.001859
1780856461,-23,7.368,1.0,0.01,0.001299
1780857061,25,6.505,1.948,0.01,0.001397
1780857421,-55,6.867,6.199,0.0852,0.043076
1780857481,-7,6.82,1.869,0.0116,0.002524
1780857601,50,6.748,1.0,0.0107,0.001263
1780858081,46,6.987,9.952,13.8837,7.779382
1780858381,-23,10.062,107.383,4.245366606214177e+27,1.5727209780836588e+27
1780859401,56,6.893,1.71,0.01,0.001883
1780859581,42,6.96,9.052,6.4017,3.138022
1780859941,-23,6.785,1.0,0.01,0.001399
1780860241,71,8.972,79.506,5.04503604820352e+22,2.110075560186177e+22
1780860721,62,16.862,21.09,21.3294,5.780088
1780861921,49,8.122,1.0,0.01,0.001011
1780862101,39,8.067,1.0,0.0107,0.001115
1780862701,-38,9.21,13.146,5.0373,2.603403
1780863901,-54,9.947,1.0,0.01,0.001
1780864021,-10,9.203,1.0,0.01,0.001
1780864321,-42,7.718,1.0,0.0114,0.001291
1780864441,75,7.33,1.0,0.0112,0.001142
1780864741,-38,6.702,1.0,0.01,0.001
1780864861,-49,6.612,1.0,0.0132,0.001582
1780865581,-1,6.152,1.0,0.01,0.001
1780865701,17,6.173,1.0,0.0101,0.001602
1780866181,-47,6.583,10.651,10.4995,4.59526
1780866481,36,8.117,35.52,4757807001.056,2084866347.48214
1780866661,41,8.975,28.244,1563946.5963,646773.098567
1780866721,-30,9.205,22.333,6323.3813,3674.398961
